overall_rating,review_text,sentiment,predito,tipo_erro
1,"Com a loja está tudo certo, pois o pedido chegou antes do prazo estipulado. A máscara é muito grossa e de difícil remoção. Não sei se por isso ou por outra causa, mas o produto fez com que caísse uma quantidade significativa de meus cílios. Detalhe, não forcei muito para remover (essa não foi a causa da queda).",0,1,Falso positivo
2,"Olha o valor do produto que vale 400,00. De 10.000,00 por 9.500,00.",0,1,Falso positivo
5,"Vale a pena ter um apresentador como esse. Já é o meu terceiro apresentador Targus. O primeiro perdi a conexão com o pc, não sei onde deixei. O segundo de tanto cair, quebrou.",1,0,Falso negativo
5,"Otimo produto, não bagunça os cachoes enquanto seca, em trinta  minutos seu cabelo está pronto para sair, limpo e seco, o que para quem tem cachos é quase impossível, em tão pouco tempo.",1,0,Falso negativo
2,"O produto é bom em questão de funcionamento.. porém com dois dias a tampinha do auto falante descolou.. Nada que uma super bonde não resolva, mas a qualidade ou quantidade do matéria utilizado poderia ser melhor!!",0,1,Falso positivo
4,Comprei através do site da loja Americana o qual tenho confiança por ter feito outras compras o qual vieram bem embalado . Agora este produto que comprei veio com a embalagem de loja e como comprei duas unidades eles fixaram com durex e quando recebi a mercadoria a caixa por não ser a apropriada veio se desmontando . Peço que a loja Américas tome mais cuidados com os terceiros pois as Lojas Americanas também são responsável por eles,1,0,Falso negativo
1,"Produto bem embalado e chegou antes do prazo, totalmente satisfeita com esse produto da Samsung",0,1,Falso positivo
5,Um aparelho de baixo custo e alta precisão onde acho que todos deveria ter em suas casas,1,0,Falso negativo
4,"O produto confere as descrições do vendedor, foi entregue sem inconveniências.",1,0,Falso negativo
1,Comprei esse perfume porque eu uso ele fazem anos e a fixação do mesmo sempre foi muito boa durando horas. Agora esse em questão não dura 20 minutos na pele.,0,1,Falso positivo
2,"Bom porém aquece muito, e não tem regulador de altura !",0,1,Falso positivo
4,O desodorante realmente funciona! As blusas não ficam com manchas nas axilas.,1,0,Falso negativo
5,O produto veio perfeitamente mas para quem pagou por uma entrega expressa e o produto estava no RJ chegar em SP 4 dias e ridículo.,1,0,Falso negativo
2,Frete muito caro para um espelho de bolsa 40 reais me arrependi,0,1,Falso positivo
2,"Gostaria muito de estar enganada em relação ao produto mochila, espero que me surpreenda!",0,1,Falso positivo
5,"sempre confiei nos produtos vendidos por esse site, 100% de garantia.  obrigado.",1,0,Falso negativo
4,O produto era o ue eu esperava demorou um pouco para chegar mas  chegou. Ainda nao usei mas parece ser bom,1,0,Falso negativo
